society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,property_id,sector
mittal surya vihar,flat,1.4,5833.0,Super Built up area 2400(222.97 sq.m.),2400.0,5,4,2,not available,2.0,,5 to 10 Year Old,"['HUDA Sector 23 Market', 'Citibank ATM', 'DGD', 'Deepan Hospital', 'SPUHC Samalka', 'SP Infocity', 'Icici bank', 'Oriental bank of commerce', 'Punjab national bank', 'PVR Cinames', 'Cantine', ""McDonald's"", 'Machaan', 'Mukesh Dhaba', 'Om Sweets', 'barrique', 'Swiss Cottage school']",[],,T69301952,sector 21
signature global city 63a,flat,1.4,11336.0,Carpet area: 1235 (114.74 sq.m.),1235.0,2,2,2,others,3.0,East,Jul 2024,"['Sector 54 Chowk Metro Station', 'Paras Trinity', 'Golf Course Ext Road', 'The Shriram Millennium School', 'KIIT College of Engineering', 'Park Hospital', 'Indira Gandhi International Airport', 'Bhondsi Nature Park', 'Duke Horse Riding Club', 'Capital Cyberscape', 'DoubleTree by Hilton Hotel', 'Fun N Food Water Park', 'Kingdom of Dreams']",[],,I69037888,sector 63
raheja sampada,flat,0.65,4744.0,Super Built up area 1370(127.28 sq.m.),1370.0,3,2,3,not available,6.0,North-East,1 to 5 Year Old,"['Sapphire 93', 'JMS crosswalk', 'Reliance Smart', 'Dwarka expressway', 'NH8', 'Yaduvanshi Shiksha Niketan', 'Gurukul Preschool', 'New Shiv Mandir', 'Aarvy Healthcare', 'Arc Multi Speciality hospital', 'YES Bank', 'Badha More', 'Heritage Village Resort', 'Helipad']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",B68691862,sector 92
independent,house,8.4,34568.0,Plot area 270(225.75 sq.m.),2430.0,4,4,3+,"servant room,store room,pooja room",2.0,North-East,1 to 5 Year Old,"['Dlf phase 1 metro station', 'Huda city centre metro station', 'Iffco chowk metro station', 'New Life Church', 'Hanuman Mandir', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Rbs ATM', 'Sitaram Bhartia', 'Max Hospital', 'Dr. Kutbuddin Akbary', 'Sidhesh Hospital Gurgaon', 'Umkal Hospital', 'Marwah Clinic', 'Lord Krishna Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Divine Look Clinic Centre 1', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'DT Cinemas', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Fat', 'Nowhere Brewpub and cafe', 'Dighent cafe', 'Drunken Monkey', 'Belgian Waffle', 'CCD', 'The Chicken Boat', 'Naveidyam', 'Balaji Vegetarian Paradise', 'Pizza Hut', 'Barbecue Grill', 'PWO house', 'Food Court', 'Stones2milestones', 'Bahrisons library', 'Ncr library']","['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '10 Light', '4 AC', '1 Curtains', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,sector 28
unitech uniworld resorts,house,8.5,17820.0,Plot area 530(443.15 sq.m.),4770.0,5,5,3+,"pooja room,study room,servant room,store room",3.0,North,0 to 1 Year Old,"['Rajiv Chowk Mosque', 'Airforce Hospital', 'Samvit Health Care', 'Medanta', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Vaishnavi Nursing Home', 'Ayushman Hospital And Trauma Centre', 'Smile Plus Dental Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Shri Ram Dental Clinic', 'Sunrise Hospital Gurgaon', 'Rajendra Hospital', 'Bansal Medicare and Maternity Centre', 'Pushpanjali Hospital Gurgaon', 'Parmar Dental Clinic & Lab', 'Sai Dental Clinic', 'Nutan Dental Hospital', 'Pushpanjali Hospital', 'Clove Dental', 'Gautam Hospital', 'Dental Xpert Dental Clinic', 'Harshila Dental Clinic', 'Rachna Dental Clinic', 'The Muskan Dental Clinic', 'Bhanu Dental Care', 'Best Urologist Atcomplete Family Clinic', 'Park Hospital Gurgaon', 'Wellness Eye Centre', 'Neelkanth Health Care', 'Vishesh Dental', 'Dr. Aruna Kalra', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Indian Oil', 'SRS Cinemas', 'Hdfc bank', 'Icici bank', 'KFC', 'Haldiram', 'Kendriya Vidyalaya No.2 Sohna Road', 'CR Model Public School', 'Delhi Public School Primary Section']","['6 Wardrobe', '1 Water Purifier', '8 Fan', '1 Exhaust Fan', '6 Geyser', '28 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,sector 33
nbcc heights,flat,0.75,6578.0,Super Built up area 1140(105.91 sq.m.),1140.0,2,2,2,not available,6.0,,5 to 10 Year Old,"['Reliance MART', 'Lotus Rise World School', 'RPS International School', 'Shri Shakti Shanidham Mandir', 'Axis Bank ATM', 'Canara ATM', 'Kartik hospital', 'VS Hospital', 'Aarvy  Super Specialty Hospital', 'Genesis Hospital', 'Oriental Bank of Commerce', 'Garhi harsaru Railway station', 'HP PETROL PUMP', 'Essar Petrol Pump', 'INOX Cinema']",[],,R69736118,sector 89
independent,house,6.95,38611.0,Plot area 192(160.54 sq.m.),1800.0,12,12,3+,"servant room,store room",4.0,East,0 to 1 Year Old,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Anand Hospital Gurgaon', 'Kriti Hospital', 'Surgicare Hospital Gurgaon', 'pracksht hospital', 'Vatsalya Clinic', 'Arunodaya Deseret Eye Hospital', 'Arihant Hospital', 'HUDA Office Complex', 'Wembley estate club', 'Medisca', 'Pernod Ricard Charitable Dispensary', 'Unitech', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'Hdfc bank', 'Kotak mahindra bank', 'Indusind bank', 'State bank of india', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', '222', 'Pizza Hut', 'Madison and Pike', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Gurugram University', 'IILM', 'Iilm University', 'Kamla International', 'Amity Global School', 'St. Angels Sr', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Manav Rachna Swimming Pool']","['1 Water Purifier', '1 Exhaust Fan', '1 Stove', '1 Microwave', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Park', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Waste Disposal', 'Rain Water Harvesting']",,sector 57
godrej,flat,1.18,8532.0,Super Built up area 1383(128.48 sq.m.),1383.0,2,2,3,not available,7.0,North-West,1 to 5 Year Old,"['Vatika Town Square-INXT', 'Naurangpur Road', 'NH 48', 'Euro International School', 'Gurugram University', 'Miracles Apollo Cradle', 'Nouveau Medics Multispeciality OPD', 'Indira Gandhi Intl Airport', 'Heritage Village Resort & Spa', 'Nakhrola Stadium']",,"['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",B69483542,sector 79
bestech park view city,flat,2.7,12505.0,Super Built up area 2159(200.58 sq.m.),2159.0,3,4,3+,not available,6.0,,5 to 10 Year Old,"['Sector 55-56 Metro Station', 'Raheja Mall', 'Hong Kong Bazaar', 'Sohna Road', 'Delhi Jaipur Expressway', 'DAV Public School', 'Gurugram University', 'W Pratiksha Hospital', 'Indira Gandhi International Airport', 'Bestech Business Tower', 'Radisson Hotel Gurugram Sohna Road', 'HUDA Mini Golf Course', 'SkyJumper Trampoline Park Gurgaon', 'SCC Drive-In Cinema', 'Duke Horse Riding Club']",[],,L68665896,sector 49
paras dews,flat,1.28,7272.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1760.0,3,4,3+,servant room,24.0,North-West,1 to 5 Year Old,"['MG Road Metro Station', 'NeoSquare Shopping Mall', 'Dwarka Expressway', 'Glorious World School', 'DPG Institute of Technology', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon', 'Country Inn & Suites by Radisson', 'SkyJumper Trampoline Park', 'Hamoni Golf Camp']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",Z69727942,sector 106
independent,house,0.45,5000.0,Carpet area: 900 (83.61 sq.m.),900.0,3,2,0,not available,1.0,,undefined,"['Ankur Clinic and Maternity Home', 'Navjeevan Hospital and Maternity Centre', 'Shiv Mahima Patient Care Bureau', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Mangalam Hospital and Heart Centre Gurgaon', 'Dev Man Kathuria Clinic', 'Dr. Madan Clinic', 'Satyam Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Sethi Hospital Gurgaon', 'Shubham Hospital Gurgaon', 'Swastik Maternity and Medical Centre', 'Kathuria Hospital', 'Parashar Hospital', 'Nangia Hospital Ent and Maternity', 'Chiranjiv Hospital', 'Pasricha Hospital and Maternity Home', 'Vinayak Hospital Gurgaon', 'Taneja Hospital', 'Rama Hospital & Nursing Home', 'Rachna Dental Clinic', 'My Care Clinic', 'Bhanu Dental Care', 'M.S Hospital', 'Triveni Hospital Gurgaon', 'Pearl Dental Clinic', 'Bindal Clinic', 'Geeta Nursing Home Gurgaon', 'Parmar Dental Clinic & Lab', 'Rajendra Hospital', 'Ravi Clinic and Health Care Centre', 'Dr. Ajay S. Gupta Clinic', 'Dr. Ashok Jain', 'Nutan Dental Hospital', 'Aryan Hospital', 'Sharma Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Thakral Nursing and Maternity Home', 'Smile Plus Dental Clinic', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Shri Ram Dental Clinic', 'Gupta Hospital Gurgaon', 'Sai Dental Clinic', 'Esic Hospital Gurugram', 'Sparsh Hospital Gurgaon', 'IBP Petrol Station', 'State bank of india', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,sector 7
m3m skycity,flat,3.5,17039.0,Carpet area: 2054 (190.82 sq.m.),2054.0,3,3,3,"pooja room,study room,servant room",15.0,East,Within 3 months,"['Sector 55 Metro Station', 'Eros City Square', 'DPS International Edge', 'Narayana Junior College', 'CK Birla Hospital', 'Indira Gandhi Intl Airport', 'Splendor Trade Tower', 'DoubleTree by Hilton Hotel', 'SkyJumper Trampoline Park']","['6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '11 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Y69073178,sector 65
ss omnia,house,0.42,84000.0,Plot area 50(4.65 sq.m.),50.0,5,3,2,not available,3.0,,1 to 5 Year Old,"['Orris Community Center', 'Essar Petrol Pump', 'Indian Oil', 'HP Petrol Pump', 'Vijay Petrol Pump', 'Petrol Pump Indian Oil', 'Petrol Pump', 'KFC', 'Pizza Hut']",[],,,sector 86
independent,house,0.98,9074.0,Carpet area: 120 (100.34 sq.m.),1080.0,9,4,3,not available,1.0,South,undefined,,,,,sector 110
chd avenue,flat,0.98,6049.0,Super Built up area 1620(150.5 sq.m.),1620.0,3,3,3,study room,0.0,South-East,5 to 10 Year Old,"['Huda City Centre', 'Apna Mart', 'Rajiv Chowk', 'Sohna Road', 'IFFCO Chowk', 'Medanta Hospital', 'Max Hospital, Gurugram', 'IGI Airport', 'HDFC Bank', 'Candor Park', 'Marriott Courtyard', 'Radisson Suites', 'Park Plaza', 'Flipkart Warehouse', 'Sadar Police Station']",[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",A69435332,sector 71
la vida by tata housing,flat,3.0,14285.0,Super Built up area 2691(250 sq.m.)Built Up area: 2460 sq.ft. (228.54 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2100.0,3,3,3+,servant room,3.0,East,1 to 5 Year Old,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Bajghera Road', 'Dwarka Expy', 'Euro International School, Sector- 109.', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi Intl Airport', 'Bijwasan Railway Station']","['1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Y69731932,sector 113
mahindra aura,flat,1.4,9655.0,Super Built up area 1615(150.04 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),1450.0,3,3,3,not available,10.0,North,1 to 5 Year Old,"['Global Foyer Mall,  Palam Vihar', 'Dwarka Expy, Block D, New Palam Vihar', 'Red Roses Public School', 'The NorthCap University', 'Park Hospital, Palam Vihar', 'Indira Gandhi Intl Airport']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '15 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",B69710156,sector 110
independent,house,2.4,12000.0,Plot area 2000(185.81 sq.m.),2000.0,3,3,2,"store room,pooja room",2.0,North-East,5 to 10 Year Old,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'Kalyan Hospital Gurgaon', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Big Cinemas', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Moti Mahal', 'Pind Baluchi', 'Pizza Hut', ""Domino's Pizza"", 'Cafe Coffee Day', 'Om Sweets', ""McDonald's"", 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'Chiranjiv Bharati School', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Bijwasan railway station']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Park', 'Bank Attached Property', 'Club house / Community Center']",,sector 23
imperia the esfera,flat,0.9,6272.0,Built Up area: 1435 (133.32 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1435.0,3,3,3,not available,9.0,East,undefined,"['Approved Sector 37 Mero Station', 'Esplanade Mall', 'Sector 10 Market', 'Dwarka Expressway', 'Suncity School', 'Xavier’s International', 'Alpine School', 'Signature Hospital']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,D69988498,sector 37c
karmyogi apartment,flat,2.3,6467.0,Carpet area: 3556 (330.36 sq.m.),3557.0,6,4,2,not available,6.0,,5 to 10 Year Old,"['Rajiv Chowk Mosque', 'Gautam Hospital', 'Sai Dental Clinic', 'Nutan Dental Hospital', 'Harshila Dental Clinic', 'Clove Dental', 'Sunrise Hospital Gurgaon', 'Yadav Hospital Gurgoan', 'Shri Ram Dental Clinic', 'Bhanu Dental Care', 'Dental Xpert Dental Clinic', 'Parmar Dental Clinic & Lab', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Rachna Dental Clinic', 'Ayushman Hospital And Trauma Centre', 'Vaishnavi Nursing Home', 'Mangalam Hospital and Heart Centre Gurgaon', 'Ankur Clinic and Maternity Home', 'Navjeevan Hospital and Maternity Centre', 'Rajendra Hospital', 'Kathuria Hospital', 'Shiv Mahima Patient Care Bureau', 'Parashar Hospital', 'Kamla Hospital Gurgaon', 'Lal Superspeciality Hospital', 'Shri Gobind Hospital', 'Vinayak Hospital Gurgaon', 'Smile Plus Dental Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'Sethi Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Shubham Hospital Gurgaon', 'Pasricha Hospital and Maternity Home', 'Rama Hospital & Nursing Home', 'Satyam Hospital Gurgaon', 'Dev Man Kathuria Clinic', 'Dr. Madan Clinic', 'Airforce Hospital', 'Shri Multispeciality Hospital', 'Swastik Maternity and Medical Centre', 'Thakral Nursing and Maternity Home', 'Chiranjiv Hospital', 'Taneja Hospital', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Boxer Fuel Point', 'IBP Petrol Station', 'Kendriya Vidyalaya No.2 Sohna Road']","['1 Exhaust Fan', '4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,J69875070,sector 10
ardee city,house,5.5,183333.0,Plot area 300(27.87 sq.m.),300.0,9,9,3+,"pooja room,servant room,others",3.0,South,5 to 10 Year Old,"['Radhakrishna Shani Mandir', 'Hanuman Mandir', 'Sanatan Dharm Mandir', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'State bank ATM', 'Icici bank ATM', 'Anand Hospital Gurgaon', 'Arihant Hospital', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Paras Hospital Gurgaon', 'Gupta', 'HUDA Office Complex', 'Pernod Ricard Charitable Dispensary', 'Medisca', 'Heera Fuel Station', 'HCG CNG Station', 'Bharat petroleum', '222', 'Hdfc bank and atm', 'Hdfc bank & atm', 'Axis bank', 'Kotak mahindra bank', 'Indusind bank', 'Pizza Hut', 'Cafe Tonini', 'Wat-a-Burger', 'Clock tower', 'Burger Singh', 'Sagar Ratna', ""Carl's Jr."", 'Starbucks', 'Bikanerwala', 'Shophouse by Kylin', 'St. Angels Sr', 'Amity Global School', 'IILM', 'School of Inspired Leadership SOIL', 'Gurugram University', 'Stones2milestones', 'St. Angels Jr', 'Iilm University']","['21 Fan', '1 Exhaust Fan', '9 Geyser', '10 AC', '3 Chimney', '1 Modular Kitchen', '9 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Park', 'Rain Water Harvesting']",,sector 52
shree vardhman flora,flat,0.65,4814.0,Super Built up area 1350(125.42 sq.m.),1350.0,2,2,3,study room,6.0,East,1 to 5 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Y69230080,sector 90
m3m heights,flat,2.01,13500.0,Super Built up area 1516(140.84 sq.m.)Carpet area: 1433 sq.ft. (133.13 sq.m.),1489.0,2,2,3,study room,8.0,North-East,Within 3 months,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']","['1 Wardrobe', '1 Stove', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",T69385436,sector 65
dlf the ultima,flat,2.3,10936.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1617 sq.ft. (150.22 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.0,3,3,3+,"pooja room,study room,servant room,others",19.0,East,1 to 5 Year Old,"['Huda Metro Station (Gurugram)', 'Vatika Town Square-INXT', 'Manesar Road', 'NH 48', 'Euro International School, Sec 84', 'SGT University', 'Miracles Apollo Cradle Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['1 Fridge', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '15 Light', '1 Chimney', '5 AC', '1 Modular Kitchen', '3 Wardrobe', '1 Washing Machine', '1 Microwave', 'No Bed', 'No Curtains', 'No Dining Table', 'No Sofa', 'No TV', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",E69864862,sector 81
